,Región,Consumo de combustible (combinado),Ciudad,Kilometraje,Color Exterior,Transmisión,Vehículo,Combustible,Anho,Precio,Puertas,Litros (motor),Cilindros,Pasajeros
147,Los Ríos, km/l,Valdivia,111.000 kms,Gris Grafito,automático,2010 Subaru LEGACY 2.01 AWD XS AUT,Bencina,2010,$ 7.700.000,5,,,
148,Metropolitana de Santiago,"12,3 km/l",Santiago,160.000 kms,Gris grafito,automático,2012 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2012,$ 6.800.000,4,2.0,4,5
149,Valparaíso, km/l,Algarrobo,200.000 kms,,automático,1998 Subaru LEGACY 2.5 GT AWD AUTO TOURING,Bencina,1998,$ 2.800.000,5,,,
150,OHiggins, km/l,San Fernando,240.000 kms,azul,manual,1994 Subaru LEGACY gl,Bencina,1994,$ 1.450.000,5,,,
151,Maule, km/l,Curico,,Rojo metalico,automático,1993 Subaru LEGACY Gt,Bencina,1993,$ 1.300.000,5,,,
152,Metropolitana de Santiago, km/l,Santiago,188.888 kms,,automático,2007 Subaru LEGACY 2.0R 4D AT AWD XA,Bencina,2007,$ 3.900.000,5,,,
153,Metropolitana de Santiago, km/l,Santiago,,Azul oscuro,manual,1995 Subaru LEGACY LX,Bencina,1995,$ 1.490.000,5,,,
154,Maule,0 km/l,Linares,390.000 kms,,manual,1998 Subaru LEGACY 2.0 GL,Bencina,1998,$ 1.000.000,5,2,4,5
155,Valparaíso, km/l,Viña del Mar,135.000 kms,Azul,manual,2001 Subaru LEGACY B4 TWIN TURBO,Bencina,2001,$ 7.500.000,5,,,
156,Metropolitana de Santiago,0 km/l,Santiago,120.000 kms,Plata,automático,2007 Subaru LEGACY 2.0R 4D AT AWD UA,Bencina,2007,$ 5.200.000,4,2,4,5
157,Metropolitana de Santiago, km/l,Santiago,,,manual,1997 Subaru LEGACY Lx,Bencina,1997,$ 1.700.000,5,,,
158,Valparaíso, km/l,San Felipe,80.000 kms,Blanco,automático,2011 Subaru LEGACY 2.5I 4D AWD CVT Sport,Bencina,2011,$ 6.300.000,4,,,
159,Metropolitana de Santiago,"12,3 km/l",Pirque,105.000 kms,,automático,2011 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2011,$ 6.800.000,4,2.0,4,5
160,Valparaíso, km/l,Valparaiso,300.000 kms,Verde Agua Mica,manual,1998 Subaru LEGACY 2.0 GL,Bencina,1998,$ 1.800.000,5,,,
161,Maule, km/l,San Javier,135.000 kms,blanco,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2010,$ 6.500.000,4,,,
162,Metropolitana de Santiago, km/l,Santiago,182.000 kms,blanco aperlado,automático,2004 Subaru LEGACY 2.0 4WD MT XA,Bencina,2004,$ 3.750.000,4,,,
163,Metropolitana de Santiago,0 km/l,Santiago,,Blanco,automático,2008 Subaru LEGACY 2.0R TW AUTO AWD UX,Bencina,2008,$ 4.650.000,5,2,4,5
164,Metropolitana de Santiago,0 km/l,Bollenar,,Blanco,automático,1999 Subaru LEGACY 2.0 AWD GX AUTO TW,Bencina,1999,$ 2.200.000,5,2,4,5
165,Metropolitana de Santiago,0 km/l,Santiago,92.000 kms,plateado claro,automático,2006 Subaru LEGACY 2.0 4WD AT UA,Bencina,2006,$ 4.900.000,4,2,4,5
166,Metropolitana de Santiago,0 km/l,Santiago,92.000 kms,plateado claro,automático,2006 Subaru LEGACY 2.0 4WD AT UA,Bencina,2006,$ 4.900.000,4,2,4,5
167,Metropolitana de Santiago,0 km/l,Santiago,92.000 kms,plateado claro,automático,2006 Subaru LEGACY 2.0 4WD AT UA,Bencina,2006,$ 4.900.000,4,2,4,5
168,Metropolitana de Santiago,0 km/l,Santiago,92.000 kms,plateado claro,automático,2006 Subaru LEGACY 2.0 4WD AT UA,Bencina,2006,$ 4.900.000,4,2,4,5
169,Valparaíso,0 km/l,San Felipe,74.000 kms,Gris diamante,automático,2009 Subaru LEGACY 2.5I Auto 3S Limited,Bencina,2009,$ 5.600.000,4,2.5,4,5
170,Araucanía,0 km/l,Villarrica,115 kms,,automático,2009 Subaru LEGACY 2.0R 4D Auto AWD 3Q,Bencina,2009,$ 5.700.000,4,2,4,5
171,Valparaíso, km/l,Quillota,108.000 kms,Gris,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD UX,Bencina,2008,$ 5.100.000,4,,,
172,Metropolitana de Santiago, km/l,Melipilla,270.000 kms,bkanco,manual,1994 Subaru LEGACY legacy gl,Bencina,1994,$ 1.750.000,5,,,
173,Metropolitana de Santiago, km/l,Santiago,153.000 kms,BLANCO,automático,2005 Subaru LEGACY 2.0 AWD AUT,Bencina,2005,$ 3.900.000,5,,,
174,Maule,0 km/l,Talca,169.500 kms,Azul,automático,2005 Subaru LEGACY 2.0 TW 4WD AT UA,Bencina,2005,$ 3.850.000,5,2,4,5
175,Maule,0 km/l,Talca,169.500 kms,Azul,automático,2005 Subaru LEGACY 2.0 TW 4WD AT UA,Bencina,2005,$ 3.850.000,5,2,4,5
176,Maule, km/l,Cauquenes,168.000 kms,,automático,2008 Subaru LEGACY 2.0r,Bencina,2008,$ 4.950.000,4,,,
177,Bío Bío, km/l,Los Angeles,186.000 kms,plataultra,automático,2007 Subaru LEGACY 2.0R 4D AT AWD 3L,Bencina,2007,$ 4.600.000,4,,,
178,Metropolitana de Santiago, km/l,Santiago,115.000 kms,,automático,2007 Subaru LEGACY 2.0R 4D AT AWD XA,Bencina,2007,$ 4.900.000,4,,,
179,Metropolitana de Santiago, km/l,Santiago,190.000 kms,Gris,automático,2008 Subaru LEGACY 2.0R 4D AWD XX,Bencina,2008,$ 5.480.000,4,,,
180,Bío Bío,0 km/l,Los Angeles,174.000 kms,Cafe,automático,2001 Subaru LEGACY 2.5 AWD GT PX AUTO,Bencina,2001,$ 3.300.000,4,2.5,4,5
181,OHiggins, km/l,Palmilla,87.000 kms,Blanco,manual,1995 Subaru LEGACY Lx,Bencina,1995,$ 1.800.000,5,,,
182,Metropolitana de Santiago, km/l,Santiago,181.000 kms,Gris,automático,2005 Subaru LEGACY 2.0 TW 4WD AT XA,Bencina,2005,$ 3.880.000,4,,,
183,Bío Bío,0 km/l,Los Angeles,90.000 kms,,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2010,$ 6.990.000,4,2,4,5
184,Metropolitana de Santiago,0 km/l,Santiago,115.000 kms,,automático,2009 Subaru LEGACY 2.5I Auto 3S Limited,Bencina,2009,$ 6.100.000,4,2.5,4,5
185,Metropolitana de Santiago,12 km/l,Santiago,100.000 kms,PLATEADO HIELO,automático,2014 Subaru LEGACY 2.5I 4D CVT X-Edition 4WD,Bencina,2014,$ 11.580.000,4,2.5,4,5
186,Metropolitana de Santiago,0 km/l,Santiago,116.000 kms,GRIS PLATA,automático,2014 Subaru LEGACY 2.0I 4P CVT XS 4WD,Bencina,2014,$ 8.300.000,4,2.0,4,5
187,Metropolitana de Santiago, km/l,Santiago,126.000 kms,Gris metálico,automático,2010 Subaru LEGACY TURBO 2.5 GT AWD AUTOMATICO ,Bencina,2010,$ 7.900.000,4,,,
188,Metropolitana de Santiago, km/l,Santiago,250.000 kms,Gris,manual,1997 Subaru LEGACY 2.0 GL,Bencina,1997,$ 1.450.000,4,,,
189,Valparaíso,0 km/l,Viña del Mar,168.000 kms,,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2010,$ 6.700.000,4,2,4,5
190,Los Lagos,0 km/l,Osorno,230.000 kms,,manual,1998 Subaru LEGACY 2.0 GL,Bencina,1998,$ 2.200.000,4,2,4,5
191,Metropolitana de Santiago, km/l,Santiago,,verde,manual,1998 Subaru legacy outback 2.2 mecanica full,Bencina,1998,$ 3.000.000,5,,,
192,Los Lagos, km/l,Puerto Varas,80.000 kms,,automático,1996 Subaru LEGACY 80mil km Automtico,Bencina,1996,$ 3.390.000,4,,,
193,Metropolitana de Santiago,0 km/l,Santiago,145.000 kms,Azul perlado,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD XX,Bencina,2008,$ 5.100.000,4,2,4,5
194,Maule, km/l,Curico,174.000 kms,Gris,automático,1999 Subaru LEGACY 2.0 GL AWD,Bencina,1999,$ 2.700.000,5,,,
195,Valparaíso, km/l,Quintero,,blanco satin ,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2010,$ 4.500.000,4,,,
196,Metropolitana de Santiago, km/l,San Bernardo,270.000 kms,,automático,1992 Subaru LEGACY Station wagon,Bencina,1992,$ 1.380.000,5,,,
197,Metropolitana de Santiago,"12,3 km/l",Batuco,103.000 kms,Humo metalico,automático,2012 Subaru LEGACY 2.0I 4P CVT XS 4WD,Bencina,2012,$ 8.500.000,4,2.0,4,5
198,OHiggins, km/l,Peumo,192.000 kms,BLANCO PERLADO,automático,2006 Subaru NEW LEGACY AWD AT 2.0,Bencina,2006,$ 4.400.000,5,,,
199,Metropolitana de Santiago, km/l,Santiago,,CELESTE,manual,1993 Subaru LEGACY GL,Bencina,1993,$ 1.500.000,0,,,
200,OHiggins, km/l,Rancagua,91.000 kms,PLATEADO HIELO ,automático,2014 Subaru LEGACY LEGACY AWD 2.5I AUT R,Bencina,2014,$ 11.900.000,5,,,
201,Metropolitana de Santiago,0 km/l,Santiago,160.000 kms,gris metalico,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2010,$ 6.150.000,4,2,4,5
202,Los Lagos,0 km/l,Frutillar,121.000 kms,Gris,automático,2009 Subaru LEGACY 2.0R 4D Auto AWD 3Q,Bencina,2009,$ 5.350.000,4,2,4,5
203,Los Lagos, km/l,Puerto Montt,285.000 kms,BLANCO,automático,2003 Subaru LEGACY 2.0 AWD GT PA AUTO,Bencina,2003,$ 2.650.000,4,,,
204,Metropolitana de Santiago,0 km/l,Santiago,55.000 kms,,automático,2016 Subaru LEGACY 2.5I CVT XS 4WD,Bencina,2016,$ 10.490.000,4,2.5,4,5
205,Metropolitana de Santiago,0 km/l,Santiago,25.000 kms,,automático,2016 Subaru LEGACY 2.5I CVT XS 4WD,Bencina,2016,$ 10.490.000,4,2.5,4,5
206,Metropolitana de Santiago, km/l,Melipilla,191.000 kms,PLATEADO CLARO,manual,2006 Subaru LEGACY NEW LEGACY AWD,Bencina,2006,$ 3.890.000,5,,,
207,Metropolitana de Santiago, km/l,Melipilla,270.000 kms,bkanco,manual,1994 Subaru LEGACY legacy gl,Bencina,1994,$ 1.750.000,5,,,
208,Metropolitana de Santiago,0 km/l,Santiago,178.000 kms,Blanco,automático,2007 Subaru LEGACY 2.0R 4D AT AWD UA,Bencina,2007,$ 4.880.000,4,2,4,5
209,Metropolitana de Santiago,0 km/l,Santiago,33.700 kms,BLANCO,automático,2016 Subaru LEGACY 3.6R CVT Limited 4WD,Bencina,2016,$ 15.900.000,4,3.6,6,5
210,Metropolitana de Santiago, km/l,Santiago,,verde,manual,1998 Subaru legacy outback 2.2 mecanica full,Bencina,1998,$ 3.000.000,5,,,
211,Los Lagos,0 km/l,Osorno,96.000 kms,Blanco ,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD UX,Bencina,2008,$ 5.990.000,4,2,4,5
212,Maule,0 km/l,Linares,285.405 kms,,manual,1999 Subaru LEGACY 2.0 LX AWD,Bencina,1999,$ 2.500.000,5,2,4,5
213,Metropolitana de Santiago, km/l,Melipilla,290.000 kms,Azul metálico,automático,1997 Subaru LEGACY GL 2.0,Bencina,1997,$ 2.000.000,5,,,
214,Metropolitana de Santiago, km/l,Santiago,143.000 kms,PLATEADO,automático,2008 Subaru LEGACY 2.0 R TRIPTRONIC,Bencina,2008,$ 4.980.000,5,,,
215,Metropolitana de Santiago, km/l,Colina,,Grafito,automático,2016 Subaru LEGACY 2.5I CVT Premium 4WD,Bencina,2016,$ 12.400.000,4,,,
216,Metropolitana de Santiago,0 km/l,Santiago,52.131 kms,Gris Oscuro ,automático,2016 Subaru LEGACY 2.5I CVT XS 4WD,Bencina,2016,$ 10.850.000,4,2.5,4,5
217,Metropolitana de Santiago,0 km/l,Santiago,,Blanco,manual,2008 Subaru LEGACY 2.0R 4D AWD XX,Bencina,2008,$ 4.980.000,4,2,4,5
218,Los Lagos, km/l,Puerto Montt,140.000 kms,Azul metálico,automático,2010 Subaru LEGACY All new legacy,Bencina,2010,$ 6.400.000,5,,,
219,Maule, km/l,Talca,221.300 kms,Verde,manual,1996 Subaru LEGACY Lx,Bencina,1996,$ 2.200.000,5,,,
220,Metropolitana de Santiago,0 km/l,Santiago,,,automático,2007 Subaru LEGACY 2.0R 4D AT AWD XA,Bencina,2007,$ 3.950.000,4,2,4,5
221,Valparaíso,0 km/l,Valparaiso,180.000 kms,gris,automático,2002 Subaru LEGACY 2.0 AWD GT PA AUTO,Bencina,2002,$ 3.300.000,4,2,4,5
222,Valparaíso,0 km/l,Rinconada,116.500 kms,BLANCO,automático,2005 Subaru LEGACY 2.0 TW 4WD AT UA,Bencina,2005,$ 4.450.000,5,2,4,5
223,Atacama, km/l,Copiapo,273.150 kms,Verde oscuro,manual,1995 Subaru Legacy Station wagon,Bencina,1995,$ 1.700.000,5,,,
224,Metropolitana de Santiago,0 km/l,Santiago,195.000 kms,Verde,automático,2003 Subaru LEGACY 2.0 AWD GT PA AUTO,Bencina,2003,$ 3.000.000,4,2,4,5
225,Metropolitana de Santiago,0 km/l,Santiago,,Azul,automático,2016 Subaru LEGACY 2.5I CVT XS 4WD,Bencina,2016,$ 10.500.000,4,2.5,4,5
226,Metropolitana de Santiago, km/l,Melipilla,120.000 kms,negro,automático,2006 Subaru LEGACY 2.0,Bencina,2006,$ 3.200.000,4,,,
227,Metropolitana de Santiago, km/l,Talagante,280.000 kms,gris oscuro,automático,2008 Subaru LEGACY 2.0R,Bencina,2008,$ 4.950.000,5,,,
228,Maule,0 km/l,Talca,150.000 kms,,automático,2000 Subaru LEGACY 2.0 AWD GX AUTO,Bencina,2000,$ 3.200.000,4,2,4,5
229,OHiggins,0 km/l,Rengo,168.000 kms,,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD 3S,Bencina,2008,$ 5.400.000,4,2,4,5
230,Metropolitana de Santiago, km/l,Santiago,215.000 kms,Gris,automático,2005 Subaru LEGACY 2.5 i full,Bencina,2005,$ 3.980.000,4,,,
231,Metropolitana de Santiago,0 km/l,Santiago,124.000 kms,Grafito,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2010,$ 5.600.000,4,2,4,5
232,Metropolitana de Santiago,0 km/l,Santiago,115.000 kms,Verde Gris meta,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2010,$ 5.300.000,4,2,4,5
233,Los Ríos, km/l,Valdivia,,Blanco,automático,2000 Subaru LEGACY 2.0 AWD GX AUTO,Bencina,2000,$ 2.600.000,4,,,
234,Valparaíso,0 km/l,Quilpue,220.000 kms,,automático,2008 Subaru LEGACY 2.0R TW AUTO AWD UX,Bencina,2008,$ 4.700.000,5,2,4,5
235,Araucanía, km/l,Pitrufquén,175.000 kms,Blanco,manual,1997 Subaru LEGACY 2.0,Bencina,1997,$ 2.300.000,5,,,
236,Metropolitana de Santiago,0 km/l,Santiago,91.972 kms,GRIS,automático,2006 Subaru LEGACY 2.0R TW AT AWD UA,Bencina,2006,$ 4.900.000,5,2,4,5
237,Metropolitana de Santiago,0 km/l,Santiago,33.000 kms,GRIS,automático,2015 Subaru LEGACY 2.5I CVT Limited 4WD,Bencina,2015,$ 12.800.000,4,2.5,4,5
238,Maule,0 km/l,Talca,123.000 kms,,automático,2007 Subaru LEGACY 2.0R 4D AT AWD UA,Bencina,2007,$ 5.150.000,4,2,4,5
239,Metropolitana de Santiago, km/l,Santiago,145.000 kms,Grafito,automático,2010 Subaru LEGACY Station 2000cc AWD 4x4 AUTOMATICO,Bencina,2010,$ 5.750.000,4,,,
240,Metropolitana de Santiago,0 km/l,Santiago,81.000 kms,,automático,2006 Subaru LEGACY 2.0 4WD AT UA,Bencina,2006,$ 6.180.000,4,2,4,5
241,Bío Bío, km/l,San Carlos,199.121 kms,Plateado,automático,2005 Subaru LEGACY NEW LEGACY 2.0I AWD AT,Bencina,2005,$ 4.790.000,4,,,
242,Araucanía,0 km/l,Villarrica,242.000 kms,Verde oscuro mica,manual,2001 Subaru LEGACY 2.0 AWD GE,Bencina,2001,$ 3.150.000,4,2,4,5
243,Metropolitana de Santiago, km/l,Santiago,,GRIS GRAFITO ,automático,1992 Subaru Legacy GL,Bencina,1992,$ 580.000,5,,,
244,Maule,0 km/l,Parral,145.000 kms,,automático,2001 Subaru LEGACY 2.5 AWD GT RG AUTO,Bencina,2001,$ 3.300.000,4,2.5,4,5
245,Araucanía, km/l,Villarrica,250.000 kms,,manual,1993 Subaru LEGACY 4x4,Bencina,1993,$ 1.700.000,5,,,
246,Metropolitana de Santiago,"9,4 km/l",Santiago,106.000 kms,negro,automático,2011 Subaru LEGACY 2.5GT 4P AWD Auto SI Drive,Bencina,2011,$ 8.290.000,4,2.5,4,5
247,OHiggins, km/l,Rancagua,90.000 kms,,automático,2011 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2011,$ 7.200.000,4,,,
248,Metropolitana de Santiago,0 km/l,Talagante,52.000 kms,Gris Oscuro,automático,2016 Subaru LEGACY 2.5I CVT XS 4WD,Bencina,2016,$ 10.600.000,4,2.5,4,5
249,Metropolitana de Santiago,0 km/l,Santiago,42.000 kms,Gris,automático,2016 Subaru LEGACY 2.5I CVT Limited 4WD,Bencina,2016,$ 14.500.000,4,2.5,4,5
250,Bío Bío, km/l,Chillán,362.600 kms,Azul,manual,1995 Subaru LEGACY 2.0,Bencina,1995,$ 1.600.000,5,,,
251,Bío Bío,0 km/l,Concepcion,30.713 kms,GRIS GRAFITO,automático,2016 Subaru LEGACY 2.5I CVT XS 4WD,Bencina,2016,$ 12.490.000,4,2.5,4,5
252,Bío Bío, km/l,Los Angeles,64.000 kms,Blanco,automático,2013 Subaru LEGACY 2.0I 4P CVT XS 4WD,Bencina,2013,$ 7.990.000,4,,,
253,Valparaíso, km/l,Quilpue,184.000 kms,,automático,2000 Subaru LEGACY 2.0 AWD GX AUTO,Bencina,2000,$ 3.200.000,5,,,
254,Maule,0 km/l,Talca,220.000 kms,Plata,automático,2005 Subaru LEGACY 2.0 TW 4WD AT UA,Bencina,2005,$ 4.300.000,5,2,4,5
255,Metropolitana de Santiago, km/l,Santiago,178.000 kms,Gris,automático,1999 Subaru LEGACY 2.0 AWD GE,Bencina,1999,$ 3.700.000,4,,,
256,Metropolitana de Santiago,0 km/l,Santiago,161.850 kms,GRIS,automático,2010 Subaru LEGACY 2.0I TW AWD CVT XS,Bencina,2010,$ 5.650.000,5,2,4,5
257,Metropolitana de Santiago, km/l,Santiago,118.000 kms,gris,automático,2009 Subaru Legacy 2.0R,Bencina,2009,$ 5.400.000,5,,,
258,Valparaíso,0 km/l,Viña del Mar,105.000 kms,gris plateado,automático,2010 Subaru LEGACY 2.0I TW AWD CVT XS,Bencina,2010,$ 6.800.000,5,2,4,5
259,Valparaíso,0 km/l,Valparaiso,1 kms,Plateado Claro,manual,2007 Subaru LEGACY 2.0R 4D MT AWD XA,Bencina,2007,$ 4.750.000,4,2,4,5
260,Metropolitana de Santiago, km/l,Santiago,1 kms,Blanco satin,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD XX,Bencina,2008,$ 5.300.000,4,,,
261,Metropolitana de Santiago, km/l,Santiago,3.500.000 kms,Blanco,automático,1997 Subaru LEGACY 2.2 GX AS,Bencina,1997,$ 2.250.000,5,,,
262,Metropolitana de Santiago, km/l,Santiago,110.000 kms,Gris ,automático,2012 Subaru LEGACY STATION WAGON AWD,Bencina,2012,$ 7.550.000,4,,,
263,Metropolitana de Santiago,0 km/l,Santiago,90.000 kms,GRIS TITANIO,automático,2010 Subaru LEGACY 2.5I 4D AWD CVT LIMITED,Bencina,2010,$ 6.500.000,4,2.5,4,5
264,Valparaíso,0 km/l,Quillota,190.000 kms,,automático,2004 Subaru LEGACY 2.0 TW 4WD AT UZ,Bencina,2004,$ 3.850.000,5,2,4,5
265,Metropolitana de Santiago, km/l,Santiago,44.000 kms,blanco perlado,automático,2015 Subaru LEGACY 3.6R CVT Limited 4WD,Bencina,2015,$ 15.300.000,4,,,
266,Metropolitana de Santiago, km/l,Santiago,47.000 kms,BLANCO,automático,2015 Subaru LEGACY 1 DUEÑO MANTENCIONES All New L,Bencina,2015,$ 13.980.000,5,,,
267,Valparaíso,0 km/l,Olmué,,blanco perlado,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2010,$ 6.100.000,4,2,4,5
268,Metropolitana de Santiago,0 km/l,Santiago,90.000 kms,PLATA,automático,2011 Subaru LEGACY 2.5I 4D AWD CVT XA,Bencina,2011,$ 7.000.000,4,2.5,4,5
269,Bío Bío,0 km/l,Concepcion,122.000 kms,Negro,automático,2010 Subaru LEGACY 2.0I TW AWD CVT XS,Bencina,2010,$ 6.300.000,5,2,4,5
270,Valparaíso,0 km/l,Viña del Mar,144.000 kms,AZUL ATLANTIC,automático,2005 Subaru LEGACY 2.0 TW 4WD AT UA,Bencina,2005,$ 4.790.000,5,2,4,5
271,Metropolitana de Santiago,0 km/l,Santiago,159.000 kms,azul metalizado,automático,2005 Subaru LEGACY 2.0 TW 4WD AT UA,Bencina,2005,$ 4.390.000,5,2,4,5
272,Metropolitana de Santiago,0 km/l,Santiago,155.000 kms,,manual,2006 Subaru LEGACY 2.0R TW MT AWD XA,Bencina,2006,$ 4.580.000,5,2,4,5
273,Metropolitana de Santiago,"12,3 km/l",Santiago,62.000 kms,Gris ,automático,2013 Subaru LEGACY 2.0I 4P AWD CVT X,Bencina,2013,$ 7.200.000,4,2.0,4,5
274,Araucanía, km/l,Pitrufquén,196.456 kms,Blanco,manual,1994 Subaru LEGACY 1.8 DL,Bencina,1994,$ 1.950.000,4,,,
275,Metropolitana de Santiago, km/l,Santiago,27.000 kms,AZUL,automático,2017 Subaru LEGACY 2.5I CVT XS 4WD,Bencina,2017,$ 11.000.000,4,,,
276,Araucanía, km/l,Temuco,226.000 kms,blanco,manual,1998 Subaru LEGACY 2.0 GL,Bencina,1998,$ 2.300.000,5,,,
277,Araucanía, km/l,Temuco,77.000 kms,gris,automático,2012 Subaru LEGACY 2.0I 4P CVT XS 4WD,Bencina,2012,$ 8.150.000,4,,,
278,Metropolitana de Santiago, km/l,Santiago,117.167 kms,Azul,automático,2008 Subaru LEGACY AWD 3.0 R Aut,Bencina,2008,$ 6.990.000,4,,,
279,Metropolitana de Santiago, km/l,San Bernardo,100.000 kms,gris grafito,automático,2011 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2011,$ 7.500.000,4,,,
280,Metropolitana de Santiago,0 km/l,Melipilla,,Gris,automático,2004 Subaru LEGACY 2.0 4WD AT UZ,Bencina,2004,$ 3.450.000,4,2,4,5
281,Araucanía, km/l,Angol,247.000 kms,GRIS PLATA,automático,2004 Subaru LEGACY 2.0 AUTOMATICO,Bencina,2004,$ 4.390.000,5,,,
282,Metropolitana de Santiago,"12,3 km/l",Santiago,69.000 kms,,automático,2013 Subaru LEGACY 2.0I 4P CVT XS 4WD,Bencina,2013,$ 7.390.000,4,2.0,4,5
283,Valparaíso, km/l,Valparaiso,92.000 kms,gris oscuro,automático,2009 Subaru LEGACY 2.0R 4D Auto AWD U,Bencina,2009,$ 5.000.000,4,,,
284,OHiggins,0 km/l,Rancagua,133.000 kms,Gris,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD UX,Bencina,2008,$ 5.000.000,4,2,4,5
285,Metropolitana de Santiago,0 km/l,Santiago,24.000 kms,Azul Oscuro Per,automático,2017 Subaru LEGACY 2.5I CVT Auto Limited 4WD,Bencina,2017,$ 13.990.000,4,2.5,4,5
286,Metropolitana de Santiago, km/l,Santiago,179.000 kms,Blanco,automático,1994 Subaru LEGACY 2.2 I 4wd Versión americana,Bencina,1994,$ 1.200.000,5,,,
287,Metropolitana de Santiago,0 km/l,Santiago,146.000 kms,,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD 3S,Bencina,2008,$ 5.900.000,4,2,4,5
288,Metropolitana de Santiago, km/l,Santiago,189.000 kms,Plata,automático,2003 Subaru LEGACY 2.0 AT AWD,Bencina,2003,$ 3.300.000,4,,,
289,Metropolitana de Santiago, km/l,Santiago,135.000 kms,Grafito,automático,2010 Subaru Legacy 2.0I 4P AWD CVT XV,Bencina,2010,$ 6.050.000,4,,,
290,Metropolitana de Santiago,"12,3 km/l",Santiago,102.000 kms,BLANCO,automático,2012 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2012,$ 7.680.000,4,2.0,4,5
291,Araucanía,0 km/l,Temuco,41.000 kms,Plateado,automático,2016 Subaru LEGACY 2.5I CVT XS 4WD,Bencina,2016,$ 10.990.000,4,2.5,4,5
292,Metropolitana de Santiago, km/l,Santiago,94.213 kms,Gris,automático,2011 Subaru LEGACY 2.5I AWD Turbo,Bencina,2011,$ 9.900.000,4,,,
293,Metropolitana de Santiago,"12,3 km/l",Santiago,119.019 kms,BLANCO,automático,2013 Subaru LEGACY 2.0I 4P AWD CVT X,Bencina,2013,$ 6.950.000,4,2.0,4,5
294,Metropolitana de Santiago,0 km/l,Santiago,106.000 kms,PLATA,automático,2008 Subaru LEGACY 2.0R 4D AUTO AWD UX,Bencina,2008,$ 4.800.000,4,2,4,5
295,Maule,"12,3 km/l",Talca,93.000 kms,GRAFITO,automático,2011 Subaru LEGACY 2.0I 4P AWD CVT X,Bencina,2011,$ 6.980.000,4,2.0,4,5
296,Metropolitana de Santiago, km/l,Santiago,106.000 kms,BLANCO,automático,2004 Subaru LEGACY 3.0R,Bencina,2004,$ 6.000.000,5,,,
