,Kilometraje,Precio,Anho,Transmisión,Vehículo,Región,Ciudad,Combustible,Puertas,Color Exterior,Pasajeros,Litros (motor),Consumo de combustible (combinado),Cilindros
145,103.000 kms,$ 8.490.000,2014,automático,2014 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,NARANJO,5,2.0,"15,2 km/l",4
146,45.000 kms,$ 12.900.000,2016,automático,2016 Subaru XV 2.0 limited maximo mantencione,Metropolitana de Santiago,Santiago,Bencina,5,GRIS,,, km/l,
147,72.000 kms,$ 9.000.000,2012,manual,2012 Subaru XV 2.0i AWD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"14,5 km/l",4
148,116.500 kms,$ 8.300.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Los Lagos,Puerto Varas,Bencina,5,blanco ,,, km/l,
149,83.000 kms,$ 7.700.000,2012,manual,2012 Subaru XV 2.0i AWD,Metropolitana de Santiago,Santiago,Bencina,5,plateado,5,2.0,"14,5 km/l",4
150,14.000 kms,$ 13.280.000,2017,automático,2017 Subaru XV 1.6i CVT Auto 4WD,Metropolitana de Santiago,Santiago,Bencina,5,NARANJO,5,1.6,"15,9 km/l",4
151,18.700 kms,$ 18.890.000,2018,automático,2018 Subaru XV 2.0i CVT Auto 4WD,Araucanía,Temuco,Bencina,5,Blanco,5,2.0,"14,1 km/l",4
152,52.000 kms,$ 12.600.000,2015,manual,2015 Subaru XV 2.0D 4WD,Maule,Constitucion,Diesel (petróleo),5,blanco,5,2.0,"17,5 km/l",4
153,53.000 kms,$ 10.990.000,2015,automático,2015 Subaru XV 2.0i CVT Dynamic 4WD,Araucanía,Temuco,Bencina,5,Verde perlado,,, km/l,
154,1 kms,$ 8.490.000,2012,automático,2012 Subaru XV 2.0i CVT 4WD,OHiggins,Rancagua,Bencina,5,Plomo ,5,2.0,"15,2 km/l",4
155,84.000 kms,$ 7.990.000,2012,automático,2012 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,NARANJO PERLA,5,2.0,"15,2 km/l",4
156,85.853 kms,$ 8.980.000,2013,automático,2013 Subaru XV XV,Metropolitana de Santiago,Santiago,Bencina,5,Plateado Claro,,, km/l,
157,71.000 kms,$ 6.100.000,2011,automático,2011 Subaru XV 2.0 R AWD,Metropolitana de Santiago,Santiago,Bencina,5,,,, km/l,
158,87.000 kms,$ 7.800.000,2011,manual,2011 Subaru XV 2.0R AWD MT,Maule,Talca,Bencina,5,GRIS,,, km/l,
159,59.000 kms,$ 11.300.000,2014,automático,2014 Subaru XV 2.0i CVT 4WD,Los Lagos,Puerto Varas,Bencina,5,arena,5,2.0,"15,2 km/l",4
160,35.000 kms,$ 11.590.000,2015,automático,2015 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Rojo,5,2.0,"13,5 km/l",4
161,30.000 kms,$ 13.990.000,2016,automático,2016 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Plata,5,2.0,"13,5 km/l",4
162,73.500 kms,$ 8.600.000,2015,manual,2015 Subaru XV 1.6i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,1.6,"15,9 km/l",4
163,85.000 kms,$ 9.800.000,2012,automático,2012 Subaru XV 2.0i CVT Limited 4WD,OHiggins,Pichidegua,Bencina,5,,,, km/l,
164,60.000 kms,$ 14.980.000,2016,automático,2016 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,NARANJO,5,2.0,"13,5 km/l",4
165,65.000 kms,$ 8.390.000,2013,manual,2013 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris,5,2.0,"14,5 km/l",4
166,53.600 kms,$ 11.690.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,PLATEADO HIELO,5,2.0,"13,5 km/l",4
167,81.000 kms,$ 9.850.000,2014,automático,2014 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris oscuro,,, km/l,
168,58.000 kms,$ 9.290.000,2014,automático,2014 Subaru XV 2.0i CVT 4WD,Bío Bío,Chillán,Bencina,5,Azul Marino Perlado,5,2.0,"15,2 km/l",4
169,74.000 kms,$ 6.900.000,2011,manual,2011 Subaru XV FULL,Metropolitana de Santiago,Santiago,Bencina,4,gris oscuro,,, km/l,
170,85.000 kms,$ 8.900.000,2013,automático,2013 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"15,2 km/l",4
171,39.800 kms,$ 9.800.000,2014,manual,2014 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris Oscuro,5,2.0,"14,5 km/l",4
172,88.000 kms,$ 9.300.000,2013,manual,2013 Subaru XV 2.0i 4WD,Los Lagos,Puerto Varas,Bencina,5,Azul Oscuro,5,2.0,"14,5 km/l",4
173,39.600 kms,$ 12.990.000,2016,manual,2016 Subaru XV 1.6i 4WD,Araucanía,Temuco,Bencina,5,Azul,5,1.6,"15,9 km/l",4
174,64.000 kms,$ 7.500.000,2011,manual,2011 Subaru XV 2.0R,Metropolitana de Santiago,Santiago,Bencina,5,Gris metalico,,, km/l,
175,55.000 kms,$ 10.990.000,2015,automático,2015 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,,, km/l,
176,162.000 kms,$ 9.000.000,2012,automático,2012 Subaru XV Xv 2.0,Araucanía,Angol,Bencina,5,Blanco satin perlado,,, km/l,
177,120.000 kms,$ 7.750.000,2012,manual,2012 Subaru XV NEW XV AWD 2.0i,Antofagasta,Antofagasta,Bencina,5,Naranjo perlado,,, km/l,
178,149.000 kms,$ 5.990.000,2011,automático,2011 Subaru XV SUBARU XV 2.0I AWD CVT,Maule,Talca,Bencina,5,GRAFITO,,, km/l,
179,,$ 12.800.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Azul,,, km/l,
180,63.500 kms,$ 12.300.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Blanco,5,2.0,"13,5 km/l",4
181,17.500 kms,$ 13.300.000,2016,automático,2016 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,PLATA,5,2.0,"13,5 km/l",4
182,46.635 kms,$ 13.400.000,2016,automático,2016 Subaru XV 2.0i CVT Dynamic 4WD,Los Ríos,San José de la Mariquina,Bencina,5,Blanco Perlado,5,2.0,"13,5 km/l",4
183,53.000 kms,$ 10.800.000,2014,automático,2014 Subaru XV 2.0i CVT Limited S 4WD,Los Lagos,Puerto Varas,Bencina,5,Gris metalico,5,2.0,"12,7 km/l",4
184,45.000 kms,$ 13.200.000,2017,manual,2017 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"13,2 km/l",4
185,85.500 kms,$ 12.000.000,2014,automático,2014 Subaru XV 2.0i CVT Limited 4WD,Araucanía,Temuco,Bencina,5,Naranjo perlado,,, km/l,
186,,$ 8.900.000,2013,automático,2013 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Chicureo,Bencina,5,,5,2.0,"15,2 km/l",4
187,116.706 kms,$ 8.990.000,2012,automático,2012 Subaru XV 2.0i CVT 4WD,OHiggins,Rancagua,Bencina,5,BLANCO,5,2.0,"15,2 km/l",4
188,48.300 kms,$ 11.490.000,2016,automático,2016 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Azul,5,2.0,"13,5 km/l",4
189,71.000 kms,$ 8.900.000,2013,automático,2013 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,,, km/l,
190,127.000 kms,$ 9.000.000,2012,automático,2012 Subaru XV 2.0i CVT AWD,Maule,Talca,Bencina,5,ROJO OSCURO,5,2.0,"15,2 km/l",4
191,70.000 kms,$ 10.500.000,2012,automático,2012 Subaru XV 2.0i CVT AWD,Metropolitana de Santiago,Santiago,Bencina,5,plateado hielo,5,2.0,"15,2 km/l",4
192,8.900 kms,$ 14.500.000,2016,automático,2016 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Verde plasma perlado,5,2.0,"13,5 km/l",4
193,44.500 kms,$ 12.940.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,AZUL,5,2.0,"13,5 km/l",4
194,1 kms,$ 12.380.000,2015,automático,2015 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,0,VERDE,,, km/l,
195,47.000 kms,$ 11.490.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Beige,5,2.0,"13,5 km/l",4
196,83.000 kms,$ 10.000.000,2014,manual,2014 Subaru XV 2.0i 4WD,Maule,Talca,Bencina,5,BLANCO,5,2.0,"14,5 km/l",4
197,55.000 kms,$ 11.400.000,2014,automático,2014 Subaru XV 2.0i CVT Limited SP 4WD,Metropolitana de Santiago,Santiago,Bencina,5,AZUL CUARZO,,, km/l,
198,83.500 kms,$ 10.890.000,2015,automático,2015 Subaru XV 2.0 AWD,Metropolitana de Santiago,Santiago,Bencina,5,,,, km/l,
199,62.000 kms,$ 9.800.000,2014,automático,2014 Subaru XV 2.0i CVT Limited SP 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris oscuro metálico,5,2.0,"12,7 km/l",4
200,60.000 kms,$ 10.990.000,2015,manual,2015 Subaru XV 1.6i 4WD,Coquimbo,Coquimbo,Bencina,5,crema,5,1.6,"15,9 km/l",4
201,115.000 kms,$ 8.980.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"15,2 km/l",4
202,52.000 kms,$ 9.500.000,2012,manual,2012 Subaru XV 2.0i AWD,Metropolitana de Santiago,Santiago,Bencina,5,Grafito Oscuro,5,2.0,"14,5 km/l",4
203,33.000 kms,$ 13.200.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS OBSCURO,5,2.0,"13,5 km/l",4
204,102.456 kms,$ 6.600.000,2011,automático,2011 Subaru XV XV 2.0R AWD AUT,OHiggins,Rancagua,Bencina,5,PLATA,,, km/l,
205,80.000 kms,$ 9.400.000,2014,automático,2014 Subaru XV 2.0i CVT Dynamic E 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Blanco,,, km/l,
206,132.000 kms,$ 8.400.000,2012,automático,2012 Subaru XV 2.0i CVT AWD,Los Ríos,Valdivia,Bencina,5,Azul,5,2.0,"15,2 km/l",4
207,22.500 kms,$ 10.500.000,2015,manual,2015 Subaru XV 1.6i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,azul oscuro ,5,1.6,"15,9 km/l",4
208,47.364 kms,$ 10.690.000,2016,automático,2016 Subaru XV AWD 1.6I,Bío Bío,Concepcion,Bencina,5,GRIS OSCURO METALICO,,, km/l,
209,100.000 kms,$ 8.000.000,2014,automático,2014 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Naranja,,, km/l,
210,117.000 kms,$ 8.500.000,2012,automático,2012 Subaru XV 2.0i CVT Limited 4WD,OHiggins,Rancagua,Bencina,5,Grafito Oscuro,5,2.0,"15,2 km/l",4
211,76.500 kms,$ 11.790.000,2015,automático,2015 Subaru XV xv awd 2.0i,Metropolitana de Santiago,Santiago,Bencina,5,PLATEADO HIELO,,, km/l,
212,104.000 kms,$ 8.790.000,2013,manual,2013 Subaru XV 2.0i 4WD,Los Lagos,Puerto Montt,Bencina,5,PLATEADO HIELO,5,2.0,"14,5 km/l",4
213,63.000 kms,$ 9.290.000,2013,automático,2013 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,BLANCO,5,2.0,"15,2 km/l",4
214,106.000 kms,$ 6.870.000,2011,automático,2011 Subaru XV 2.0 R AT LIMITED,Metropolitana de Santiago,Santiago,Bencina,5,Grafito,,, km/l,
215,1 kms,$ 11.190.000,2016,automático,2016 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,PLATA,5,2.0,"13,5 km/l",4
216,77.540 kms,$ 12.390.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Azul,5,2.0,"13,5 km/l",4
217,12.000 kms,$ 12.190.000,2016,automático,2016 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,NARANJO PERLADO,5,2.0,"13,5 km/l",4
218,43.000 kms,$ 10.790.000,2016,manual,2016 Subaru XV 1.6i 4WD,Valparaíso,Viña del Mar,Bencina,5,AZUL,5,1.6,"15,9 km/l",4
219,68.000 kms,$ 8.850.000,2013,automático,2013 Subaru XV 2.0i CVT 4WD,OHiggins,San Fernando,Bencina,5,Gris,5,2.0,"15,2 km/l",4
220,13.500 kms,$ 17.200.000,2017,automático,2017 Subaru XV LIMITED,Metropolitana de Santiago,Santiago,Bencina,5,AZUL,,, km/l,
221,64.000 kms,$ 11.990.000,2016,automático,2016 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Azul,5,2.0,"13,5 km/l",4
222,115.000 kms,$ 8.890.000,2013,automático,2013 Subaru XV 2.OI LIMITED CVT UN DUEÑO,Metropolitana de Santiago,Santiago,Bencina,5,GRIS VERDE,,, km/l,
223,68.000 kms,$ 13.700.000,2016,automático,2016 Subaru XV 2.0i CVT Limited 4WD,Bío Bío,Concepcion,Bencina,5,Grafito,5,2.0,"13,5 km/l",4
224,72.000 kms,$ 10.590.000,2015,automático,2015 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,NARANJO PERLADO,5,2.0,"13,5 km/l",4
225,,$ 5.990.000,2011,automático,2011 Subaru XV IMPECABLE FINANCIAMIENTO,Valparaíso,Viña del Mar,Bencina,5,PLATA,,, km/l,
226,113.890 kms,$ 8.390.000,2012,automático,2012 Subaru XV 2.0i CVT AWD,Bío Bío,Concepcion,Bencina,5,Plateado,5,2.0,"15,2 km/l",4
227,82.638 kms,$ 8.490.000,2013,manual,2013 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Plateado,5,2.0,"14,5 km/l",4
228,71.400 kms,$ 10.380.000,2014,automático,2014 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Naranjo,5,2.0,"15,2 km/l",4
229,15.000 kms,$ 11.690.000,2017,manual,2017 Subaru XV 1.6i Manual 4WD,Valparaíso,Viña del Mar,Bencina,5,GRIS OSCURO,5,1.6,"15,9 km/l",4
230,87.000 kms,$ 10.480.000,2014,automático,2014 Subaru XV 2.0i CVT Limited SP 4WD,Metropolitana de Santiago,Santiago,Bencina,5,AZUL,5,2.0,"12,7 km/l",4
231,63.700 kms,$ 10.490.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,VERDE,5,2.0,"15,2 km/l",4
232,91.600 kms,$ 9.990.000,2013,automático,2013 Subaru XV 2.0i CVT 4WD,Bío Bío,Concepcion,Bencina,5,,5,2.0,"15,2 km/l",4
233,76.300 kms,$ 6.190.000,2010,manual,2010 Subaru XV 2.0R AWD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS OSCURO MET,,, km/l,
234,7.574 kms,$ 11.900.000,2017,manual,2017 Subaru XV 1.6i Manual 4WD,Los Lagos,Osorno,Bencina,5,Gris Oscuro Met,5,1.6,"15,9 km/l",4
235,,$ 14.690.000,2017,automático,2017 Subaru XV 2.0i AWD CVT 16 my,Metropolitana de Santiago,Santiago,Bencina,5,NARANJO,,, km/l,
236,45.804 kms,$ 12.480.000,2016,automático,2016 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Naranjo,5,2.0,"13,5 km/l",4
237,45.000 kms,$ 7.590.000,2011,automático,2011 Subaru XV 2.0 AWD AT,Valparaíso,Viña del Mar,Bencina,5,BLANCO,,, km/l,
238,46.500 kms,$ 9.250.000,2014,manual,2014 Subaru XV 2.0i 4WD,Antofagasta,Antofagasta,Bencina,5,PLATEADO HIELO ,5,2.0,"14,5 km/l",4
239,39.000 kms,$ 11.000.000,2015,manual,2015 Subaru XV 1.6i 4WD,Los Lagos,Osorno,Bencina,5,plateado hielo,5,1.6,"15,9 km/l",4
240,78.730 kms,$ 11.990.000,2016,automático,2016 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,BURDEO,,, km/l,
241,113.000 kms,$ 8.990.000,2012,automático,2012 Subaru XV 2.0i CVT 4WD,Bío Bío,Concepcion,Bencina,5,PLATA,5,2.0,"15,2 km/l",4
242,35.300 kms,$ 9.200.000,2012,manual,2012 Subaru XV 2.0i AWD,Metropolitana de Santiago,Santiago,Bencina,5,Gris Oscuro,5,2.0,"14,5 km/l",4
243,80.000 kms,$ 10.690.000,2016,manual,2016 Subaru XV 1.6i 4WD,Los Lagos,Osorno,Bencina,5,GRIS,5,1.6,"15,9 km/l",4
244,58.672 kms,$ 9.190.000,2013,manual,2013 Subaru XV NEW XV AWD,Valparaíso,Viña del Mar,Bencina,4,BLANCO SATIN PE,,, km/l,
245,,$ 8.990.000,2013,automático,2013 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"15,2 km/l",4
246,90.000 kms,$ 8.980.000,2012,automático,2012 Subaru XV 2.0i CVT Limited AWD,Metropolitana de Santiago,Santiago,Bencina,5,Naranjo,5,2.0,"15,2 km/l",4
247,61.851 kms,$ 8.990.000,2012,automático,2012 Subaru XV 2.0i AWD,Bío Bío,Concepcion,Bencina,5,BLANCO PERLA ,,, km/l,
248,69.000 kms,$ 9.490.000,2012,manual,2012 Subaru XV 2.0i AWD,Bío Bío,Concepcion,Bencina,5,,5,2.0,"14,5 km/l",4
249,67.000 kms,$ 13.890.000,2016,automático,2016 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,VERDE,5,2.0,"13,5 km/l",4
250,33.000 kms,$ 13.490.000,2016,manual,2016 Subaru XV AWD 2.0I,Araucanía,Temuco,Bencina,5,NARANJO PERLADO,,, km/l,
251,118.283 kms,$ 8.990.000,2012,manual,2012 Subaru XV 2.0i AWD,Coquimbo,La Serena,Bencina,5,NEGRO,5,2.0,"14,5 km/l",4
252,120.000 kms,$ 8.890.000,2013,automático,2013 Subaru XV 2.0i CVT 4WD,Valparaíso,Viña del Mar,Bencina,5,VERDE GRISACEO,5,2.0,"15,2 km/l",4
253,77.000 kms,$ 8.390.000,2013,manual,2013 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Plata ,5,2.0,"14,5 km/l",4
254,45.000 kms,$ 12.900.000,2016,automático,2016 Subaru XV 2.0 limited maximo mantencione,Metropolitana de Santiago,Santiago,Bencina,0,GRIS,,, km/l,
255,,$ 9.990.000,2014,manual,2014 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Plata,5,2.0,"14,5 km/l",4
256,96.600 kms,$ 8.950.000,2013,automático,2013 Subaru XV 2.0i CVT Dynamic 4WD,Los Lagos,Osorno,Bencina,5,BLANCO,5,2.0,"15,2 km/l",4
257,40.974 kms,$ 10.560.000,2016,manual,2016 Subaru XV 1.6i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Blanco,5,1.6,"15,9 km/l",4
258,72.963 kms,$ 9.790.000,2015,manual,2015 Subaru XV 1.6i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,PLATEADO,5,1.6,"15,9 km/l",4
259,79.680 kms,$ 10.570.000,2014,automático,2014 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,BLANCO,5,2.0,"15,2 km/l",4
260,45.000 kms,$ 14.980.000,2016,automático,2016 Subaru XV AWD 2.0 AUT,Metropolitana de Santiago,Santiago,Bencina,5,GRIS,,, km/l,
261,69.000 kms,$ 7.590.000,2012,manual,2012 Subaru XV 2.0i AWD,Valparaíso,Viña del Mar,Bencina,5,NEGRO,5,2.0,"14,5 km/l",4
262,64.720 kms,$ 11.800.000,2014,automático,2014 Subaru XV 2.0i CVT Limited 4WD,Araucanía,Temuco,Bencina,5,Gris Oscuro ,5,2.0,"15,2 km/l",4
263,36.000 kms,$ 12.170.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,ROJO VENECIA ,5,2.0,"13,5 km/l",4
264,83.860 kms,$ 11.260.000,2016,manual,2016 Subaru XV 2.0D 4WD,Metropolitana de Santiago,Santiago,Diesel (petróleo),5,Azul,5,2.0,"17,5 km/l",4
265,58.500 kms,$ 9.590.000,2014,manual,2014 Subaru XV 2.0i CVT 4WD,Los Lagos,Puerto Montt,Bencina,5,Plateado,,, km/l,
266,50.000 kms,$ 13.490.000,2016,automático,2016 Subaru XV 2.0i CVT Limited 4WD,Araucanía,Temuco,Bencina,5,Gris,5,2.0,"13,5 km/l",4
267,86.000 kms,$ 10.990.000,2015,automático,2015 Subaru XV CVT,Metropolitana de Santiago,Santiago,Bencina,5,BLANCO,,, km/l,
268,,$ 8.200.000,2011,automático,2011 Subaru XV 2.0 AWD AUT,Metropolitana de Santiago,Santiago,Bencina,5,PLATEADO,,, km/l,
269,91.000 kms,$ 5.900.000,2011,manual,2011 Subaru XV Sport,Metropolitana de Santiago,Santiago,Bencina,5,,,, km/l,
270,51.000 kms,$ 14.890.000,2016,automático,2016 Subaru XV 2.0i CVT Limited 4WD,Araucanía,Temuco,Bencina,5,gris oscuro met,5,2.0,"13,5 km/l",4
271,58.000 kms,$ 10.460.000,2016,manual,2016 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris Oscuro,5,2.0,"13,2 km/l",4
272,41.000 kms,$ 8.200.000,2012,automático,2012 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris,5,2.0,"15,2 km/l",4
273,51.000 kms,$ 7.000.000,2011,automático,"2011 Subaru XV Sport full,cuero, techo",Metropolitana de Santiago,Santiago,Bencina,5,Gris,,, km/l,
274,79.000 kms,$ 8.800.000,2013,manual,2013 Subaru XV 2.0i 4WD,Coquimbo,La Serena,Bencina,5,,5,2.0,"14,5 km/l",4
275,58.152 kms,$ 10.480.000,2014,automático,2014 Subaru XV New XV AWD CVT ,Metropolitana de Santiago,Santiago,Bencina,5,Blanco Satin,,, km/l,
276,78.600 kms,$ 10.990.000,2015,automático,2015 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Naranja,5,2.0,"13,5 km/l",4
277,52.000 kms,$ 11.390.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"15,2 km/l",4
278,32.000 kms,$ 12.490.000,2014,automático,2014 Subaru XV 2.0i CVT Limited 4WD,Maule,Curico,Bencina,5,GRIS PLATA,5,2.0,"15,2 km/l",4
279,92.000 kms,$ 8.690.000,2013,automático,2013 Subaru XV 2.0 AUT AWD CVT DYNAMIC,Metropolitana de Santiago,Santiago,Bencina,5,PLATA,,, km/l,
280,78.500 kms,$ 8.700.000,2011,automático,2011 Subaru XV xv,Los Ríos,Valdivia,Bencina,5,Negro,,, km/l,
281,31.535 kms,$ 14.480.000,2016,automático,2016 Subaru XV AWD 2.0 AUT,Metropolitana de Santiago,Santiago,Bencina,5,GRIS,,, km/l,
282,,$ 10.000.000,2014,manual,2014 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS,5,2.0,"14,5 km/l",4
283,76.000 kms,$ 8.590.000,2013,automático,2013 Subaru XV 2.0i CVT 4WD,Valparaíso,Viña del Mar,Bencina,5,PLATA,5,2.0,"15,2 km/l",4
284,50.403 kms,$ 11.000.000,2014,manual,2014 Subaru XV 2.0i 4WD,Maule,Talca,Bencina,5,GRAFITO,5,2.0,"14,5 km/l",4
285,73.300 kms,$ 9.400.000,2014,manual,2014 Subaru XV 1.6i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,PLATA,5,1.6,"15,4 km/l",4
286,87.200 kms,$ 8.500.000,2012,automático,2012 Subaru XV 2.0i CVT AWD,Valparaíso,Viña del Mar,Bencina,5,NARANJO PERLADO,5,2.0,"15,2 km/l",4
287,83.000 kms,$ 12.790.000,2016,manual,2016 Subaru XV 2.0i 4WD DIESEL,Bío Bío,Concepcion,Diesel (petróleo),4,,,, km/l,
288,131.000 kms,$ 6.850.000,2011,automático,2011 Subaru XV 2.0,Metropolitana de Santiago,Santiago,Bencina,0,Negro,,, km/l,
289,95.000 kms,$ 9.590.000,2014,manual,2014 Subaru XV 2.0i 4WD,Valparaíso,Viña del Mar,Bencina,5,BLANCO SATIN,5,2.0,"14,5 km/l",4
290,55.500 kms,$ 11.500.000,2015,automático,2015 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris Oscuro,5,2.0,"13,5 km/l",4
291,80.000 kms,$ 7.100.000,2012,manual,2012 Subaru XV 2.0i AWD,OHiggins,Rancagua,Bencina,5,NEGRO,5,2.0,"14,5 km/l",4
292,,$ 12.500.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Coquimbo,La Serena,Bencina,5,Azul,5,2.0,"15,2 km/l",4
293,51.400 kms,$ 11.990.000,2015,automático,2015 Subaru XV 2.0i CVT 4WD,Valparaíso,Viña del Mar,Bencina,5,PLATA HIELO,5,2.0,"13,5 km/l",4
294,113.957 kms,$ 11.490.000,2014,automático,2014 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS,5,2.0,"15,2 km/l",4
